,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Narcolepsia,Yipiyou,FERNANDOCOSTA,2018-06-22,149583,0,0.776,0.308,0.776,0.607,0.0,0.11,-8.35,0.367,93.85,4
1,Ansiedad y recuerdos (feat. Prok),Ansiedad y recuerdos (feat. Prok),Denom,2019-04-23,168745,0,0.7,0.315,0.7,0.68,0.0,0.12,-5.783,0.316,89.976,4
2,#RapSinCorte XXII,"#RapSinCorte, Vol. 2",Foyone,2017-08-04,146874,0,0.755,0.0465,0.755,0.689,0.0,0.145,-10.986,0.354,95.845,4
3,Da Vinci,Da Vinci,Ayax y Prok,2019-05-24,133140,0,0.619,0.504,0.619,0.818,0.0,0.266,-6.014,0.387,127.247,3
4,Malamanera,Malamanera,FERNANDOCOSTA,2017-06-23,182129,0,0.829,0.522,0.829,0.589,0.0,0.12,-6.824,0.255,91.988,4
5,Modo Turbio,Modo Turbio,Kaze,2018-06-06,227584,52,0.815,0.0697,0.815,0.79,0.0,0.122,-8.31,0.205,127.918,4
6,Lo Que en Silencio Guardo,Recopilatorio de Temas Inéditos,Kaze,2015-12-03,165173,50,0.778,0.58,0.778,0.718,0.0,0.12,-7.264,0.303,93.207,4
7,Criminal,Rojo y Negro,Ayax y Prok,2018-12-21,193000,0,0.774,0.387,0.774,0.86,0.0,0.237,-4.484,0.325,91.96,4
8,#RapSinCorte VII,"#RapSinCorte, Vol. 1",Foyone,2017-07-28,163636,0,0.552,0.0321,0.552,0.866,4.65e-06,0.347,-9.619,0.323,87.891,4
9,Disasters,La Mazeta,Kulto Kultibo,2016-06-10,275678,32,0.752,0.148,0.752,0.765,0.0,0.0662,-6.595,0.259,97.024,4
10,Quédate,Quédate,Luisaker,2019-04-05,145607,0,0.798,0.514,0.798,0.572,0.0,0.0859,-10.863,0.225,140.05,4
11,Cada Vez,"Miseria, Sangre y Plomo",Desakato,2010-03-10,332306,0,0.453,0.000477,0.453,0.9,3.05e-05,0.2,-4.655,0.043,179.917,4
