economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
AUT,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51486.5755014824,50114.4011099728
BEL,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47549.2080494546,46599.1113350938
BGR,6853.00285388669,7849.16528274432,7432.47876568071,7681.93461995882,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318
CYP,31023.638671875,32396.38671875,28912.15625,27729.193359375,27163.33203125,23408.3359375,24605.919921875,26608.875,29334.111328125,29206.076171875
CZE,19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317
DEU,41572.4559481507,46705.8957963353,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47973.6076235097,46794.8992915603
DNK,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515
ESP,30532.4805081656,31677.9003083652,28322.8092495057,29067.809460022,29500.7894328615,25742.3688346767,26523.3482221547,28170.1678643302,30364.5799435622,29554.4905170087
EST,14663.0446126465,17487.8047830922,17403.2053254767,19056.0019226989,20261.0667303886,17402.0376128079,18295.3429322114,20437.765376736,23063.5638175675,23397.8782560944
FIN,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49988.9108461845,48628.641762105
FRA,40677.9851405443,43848.106054888,40872.3624615688,42605.0443782179,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41592.795896432,40578.6442850534
GRC,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19133.7577636254
HRV,14067.5231191915,14757.1803401768,13401.6566203283,13837.7316376587,13762.3728630599,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096,15311.766903695
HUN,13223.0830027699,14240.2575010219,12989.1802815896,13719.9505393621,14298.833667395,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761
IRL,48655.3661626634,52177.1126832014,49026.0230672702,51533.0345651701,55599.850799684,62012.4849258149,62861.6391157902,69774.0289724953,79107.6049934367,80886.6157387104
ITA,36035.6449950691,38649.6394836789,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.4754474483
LTU,11987.508411647,14376.9478643932,14367.709424872,15729.6524666512,16551.018202078,14263.9645773495,15008.3132445526,16885.4073948373,19186.1812814178,19575.768481407
LUX,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,117254.740352682,113218.713349678
LVA,11420.9940032836,13338.9622350852,13847.3379393194,15007.4918561719,15742.3913381908,13786.4567953114,14331.7515885049,15695.1151541059,17865.0310947642,17926.841589919
MLT,21799.1742559798,23155.5547893882,22527.6367563271,24771.0765781929,26754.2684451944,24921.6036820869,25624.5372738289,28857.0198686735,31573.1165594518,31185.6496235309
NLD,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327
POL,12613.0109954681,13879.5609852546,13097.2708482174,13696.4663046143,14271.3058536202,12578.4954734362,12447.4395912808,13864.6817579973,15468.4822194105,15732.2031311754
PRT,22520.6423124045,23217.2954965207,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932
ROU,8214.07689289811,9099.2175388969,8507.10477456436,9547.85215096612,10043.6774497614,8969.14892146193,9548.58740298268,10807.0091671993,12398.9819787666,12899.3461112897
SVK,16841.7677398734,18430.1298033985,17429.829750132,18208.4175936578,18655.7901089421,16342.2162621093,16512.2929859005,17538.048584386,19389.9821594449,19303.5456581383
SVN,23532.4808545468,25128.0150431304,22641.805122503,23503.2824850255,24247.1733184083,20890.1664304173,21678.3594670629,23514.0254604147,26116.8563558793,25942.9547741436
SWE,52869.0442891587,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291
